WEC: ava. Rotation,WEC: max. Rotation,WEC: min. Rotation,WEC: ava. Power,WEC: max. Power,WEC: min. Power,WEC: ava. Nacel position including cable twisting,WEC: ava. reactive Power,WEC: max. reactive Power,WEC: min. reactive Power,WEC: ava. blade angle A,Sys 1 inverter 1 cabinet temp.,Sys 1 inverter 2 cabinet temp.,Sys 1 inverter 3 cabinet temp.,Sys 1 inverter 4 cabinet temp.,Sys 1 inverter 5 cabinet temp.,Sys 1 inverter 6 cabinet temp.,Sys 1 inverter 7 cabinet temp.,Sys 2 inverter 1 cabinet temp.,Sys 2 inverter 2 cabinet temp.,Sys 2 inverter 3 cabinet temp.,Sys 2 inverter 4 cabinet temp.,Sys 2 inverter 5 cabinet temp.,Sys 2 inverter 6 cabinet temp.,Sys 2 inverter 7 cabinet temp.,Spinner temp.,Front bearing temp.,Rear bearing temp.,Pitch cabinet blade A temp.,Pitch cabinet blade B temp.,Pitch cabinet blade C temp.,Blade A temp.,Blade B temp.,Blade C temp.,Rotor temp. 1,Rotor temp. 2,Stator temp. 1,Stator temp. 2,Nacelle ambient temp. 1,Nacelle ambient temp. 2,Nacelle temp.,Nacelle cabinet temp.,Main carrier temp.,Rectifier cabinet temp.,Yaw inverter cabinet temp.,Fan inverter cabinet temp.,Ambient temp.,Tower temp.,Control cabinet temp.,Transformer temp.,RTU: ava. Setpoint 1,Inverter averages,Inverter std dev,Predicted_Fault
6.389999866,6.75,6.050000191,93.0,143.0,42.0,-327.0,30.0,31.0,21.0,1.0,25.0,25.0,25.0,25.0,29.0,30.0,31.0,31.0,31.0,31.0,32.0,-14.0,0.0,-50.0,22.0,27.0,31.0,38.0,38.0,36.0,166.0,165.0,166.0,42.0,43.0,45.0,45.0,12.0,12.0,17.0,22.0,17.0,36.0,25.0,30.0,13.0,20.0,28.0,38.0,2501.0,28.63636398,2.975658894,NF
14.18999958,14.88000011,13.69999981,3069.0,3148.0,2992.0,-219.0,297.0,299.0,295.0,9.56000042,36.0,35.0,34.0,34.0,35.0,34.0,34.0,34.0,34.0,33.0,33.0,-14.0,0.0,-50.0,19.0,24.0,31.0,37.0,37.0,36.0,165.0,165.0,166.0,125.0,123.0,108.0,107.0,13.0,13.0,16.0,20.0,19.0,30.0,22.0,25.0,13.0,26.0,33.0,65.0,3050.0,34.18181992,0.873862982,NF
0.0,0.0,0.0,0.0,0.0,0.0,-71.0,0.0,0.0,0.0,91.93000031,24.0,26.0,24.0,24.0,26.0,25.0,25.0,26.0,26.0,24.0,23.0,-14.0,0.0,-50.0,14.0,13.0,12.0,28.0,26.0,38.0,166.0,166.0,167.0,15.0,15.0,15.0,15.0,13.0,13.0,13.0,17.0,13.0,23.0,21.0,24.0,15.0,15.0,24.0,33.0,2501.0,24.81818199,1.078719854,FF
11.27000046,13.98999977,9.960000038,1347.0,2979.0,795.0,-415.0,82.0,172.0,65.0,1.0,31.0,31.0,31.0,31.0,32.0,30.0,30.0,31.0,30.0,28.0,28.0,-14.0,0.0,-50.0,19.0,24.0,28.0,34.0,34.0,33.0,166.0,166.0,166.0,55.0,56.0,74.0,73.0,15.0,15.0,19.0,23.0,21.0,29.0,29.0,33.0,17.0,29.0,36.0,46.0,3050.0,30.27272797,1.272077799,NF
0.0,0.039999999,0.0,0.0,0.0,0.0,-218.0,0.0,0.0,0.0,91.95999908,24.0,26.0,25.0,24.0,26.0,25.0,25.0,27.0,27.0,25.0,24.0,-14.0,0.0,-50.0,15.0,13.0,13.0,32.0,34.0,28.0,166.0,166.0,166.0,16.0,16.0,16.0,16.0,12.0,12.0,13.0,18.0,14.0,23.0,20.0,25.0,13.0,13.0,19.0,34.0,2501.0,25.27272797,1.103712797,FF
11.27999973,11.64000034,10.46000004,1098.0,1221.0,864.0,268.0,5.0,11.0,2.0,1.0,30.0,30.0,30.0,30.0,31.0,29.0,28.0,30.0,29.0,27.0,28.0,-14.0,0.0,-50.0,20.0,25.0,31.0,37.0,37.0,36.0,166.0,166.0,166.0,54.0,54.0,62.0,62.0,15.0,15.0,21.0,25.0,20.0,35.0,28.0,34.0,16.0,28.0,36.0,44.0,3050.0,29.27272797,1.190874338,NF
4.869999886,4.960000038,4.699999809,1.0,3.0,0.0,-235.0,18.0,32.0,10.0,1.0,26.0,32.0,30.0,30.0,32.0,30.0,31.0,33.0,32.0,31.0,28.0,-14.0,0.0,-50.0,20.0,25.0,30.0,36.0,37.0,35.0,166.0,166.0,166.0,40.0,40.0,36.0,36.0,11.0,11.0,17.0,22.0,16.0,31.0,24.0,29.0,10.0,15.0,26.0,40.0,3050.0,30.45454597,2.018099785,NF
13.10999966,14.43999958,11.14000034,2273.0,3082.0,1303.0,613.0,206.0,276.0,131.0,1.0,28.0,28.0,27.0,28.0,28.0,25.0,27.0,26.0,25.0,22.0,23.0,-14.0,0.0,-50.0,12.0,18.0,23.0,28.0,28.0,27.0,166.0,166.0,167.0,60.0,60.0,82.0,81.0,9.0,9.0,11.0,14.0,12.0,24.0,21.0,24.0,10.0,24.0,32.0,47.0,3050.0,26.09090996,2.119176388,NF
9.850000381,10.32999992,9.210000038,780.0,958.0,602.0,-91.0,72.0,81.0,66.0,1.0,22.0,24.0,22.0,24.0,24.0,23.0,22.0,23.0,22.0,21.0,23.0,-14.0,0.0,-50.0,14.0,18.0,26.0,30.0,30.0,29.0,166.0,166.0,167.0,46.0,46.0,63.0,62.0,10.0,10.0,14.0,17.0,13.0,29.0,21.0,27.0,11.0,20.0,28.0,36.0,3050.0,22.72727203,1.009049892,NF
6.150000095,6.619999886,5.829999924,66.0,122.0,36.0,110.0,27.0,28.0,18.0,1.0,26.0,27.0,26.0,28.0,30.0,32.0,31.0,33.0,32.0,33.0,33.0,-14.0,0.0,-50.0,24.0,27.0,32.0,39.0,39.0,38.0,166.0,166.0,166.0,51.0,52.0,54.0,54.0,15.0,15.0,19.0,23.0,18.0,36.0,26.0,31.0,18.0,23.0,34.0,41.0,3050.0,30.09090996,2.844452381,NF
